State or geographic area,Year,Beer,Wine,Spirits,All beverages,U.S. decile for all beverages,,
VA,2012,1.04,0.46,0.62,2.12,8,,
VA,2011,1.05,0.46,0.61,2.12,8,,
VA,2010,1.08,0.44,0.6,2.12,8,,
VA,2009,1.1,0.42,0.58,2.11,8,,
VA,2008,1.12,0.42,0.58,2.12,8,,
VA,2007,1.13,0.41,0.57,2.1,8,,
VA,2006,1.13,0.39,0.56,2.08,8,,
VA,2005,1.13,0.38,0.54,2.05,8,,
VA,2004,1.14,0.37,0.53,2.04,8,,
VA,2003,1.14,0.36,0.52,2.02,8,,
VA,2002,1.15,0.34,0.51,2,8,,
VA,2001,1.15,0.32,0.5,1.97,8,,
VA,2000,1.16,0.31,0.49,1.97,8,,
VA,1999,1.18,0.32,0.48,1.97,8,,
VA,1998,1.18,0.3,0.47,1.95,8,,
VA,1997,1.13,0.29,0.48,1.9,8,,
VA,1996,1.13,0.3,0.49,1.92,8,,
VA,1995,1.15,0.29,0.5,1.94,8,,
VA,1994,1.2,0.27,0.51,1.99,8,,
VA,1993,1.24,0.27,0.54,2.05,8,,
VA,1992,1.25,0.28,0.57,2.1,7,,
VA,1991,1.2,0.28,0.58,2.06,8,,
VA,1990,1.25,0.3,0.62,2.18,8,,
VA,1989,1.23,0.31,0.65,2.18,7,,
VA,1988,1.31,0.25,0.67,2.24,7,,
VA,1987,1.39,0.25,0.7,2.35,7,,
VA,1986,1.52,0.27,0.73,2.52,6,,
VA,1985,1.45,0.3,0.79,2.54,6,,
VA,1984,1.46,0.29,0.8,2.55,6,,
VA,1983,1.47,0.27,0.82,2.56,6,,
VA,1982,1.46,0.27,0.86,2.59,6,,
VA,1981,1.23,0.27,0.89,2.39,7,,
VA,1980,1.23,0.25,0.9,2.38,8,,
VA,1979,1.21,0.25,0.9,2.36,8,,
VA,1978,1.2,0.21,0.89,2.3,8,,
VA,1977,1.17,0.21,0.89,2.27,7,,
WA,2015,0.97,0.52,0.77,2.26,7,,
WA,2014,0.97,0.53,0.76,2.25,7,,
WA,2013,0.95,0.53,0.76,2.24,7,,
WA,2012,0.96,0.53,0.76,2.25,7,,
WA,2011,0.93,0.54,0.75,2.21,7,,
WA,2010,0.97,0.52,0.73,2.22,7,,
WA,2009,1.09,0.51,0.74,2.33,6,,
WA,2008,1.09,0.5,0.75,2.35,6,,
WA,2007,1.11,0.5,0.74,2.35,6,,
WA,2006,1.05,0.48,0.72,2.25,6,,
WA,2005,1.11,0.55,0.68,2.34,5,,
WA,2004,1.11,0.53,0.66,2.3,6,,
WA,2003,1.06,0.47,0.68,2.2,6,,
WA,2002,1.08,0.43,0.66,2.17,7,,
WA,2001,1.08,0.4,0.65,2.13,7,,
WA,2000,1.09,0.41,0.66,2.16,7,,
WA,1999,1.1,0.4,0.63,2.13,7,,
WA,1998,1.12,0.39,0.63,2.14,6,,
WA,1997,1.11,0.42,0.63,2.17,6,,
WA,1996,1.13,0.4,0.63,2.16,6,,
WA,1995,1.14,0.4,0.63,2.17,6,,
WA,1994,1.18,0.39,0.65,2.23,6,,
WA,1993,1.19,0.39,0.69,2.27,5,,
WA,1992,1.26,0.46,0.72,2.44,4,,
WA,1991,1.23,0.43,0.73,2.39,5,,
WA,1990,1.27,0.46,0.76,2.49,5,,
WA,1989,1.25,0.47,0.76,2.47,5,,
WA,1988,1.23,0.5,0.77,2.51,6,,
WA,1987,1.24,0.56,0.79,2.59,5,,
WA,1986,1.23,0.61,0.82,2.66,5,,
WA,1985,1.21,0.59,0.87,2.67,5,,
WA,1984,1.23,0.57,0.91,2.7,5,,
WA,1983,1.29,0.54,0.94,2.76,5,,
WA,1982,1.32,0.52,0.98,2.83,5,,
WA,1981,1.38,0.54,1.04,2.96,4,,
WA,1980,1.51,0.51,1.08,3.1,4,,
WA,1979,1.39,0.47,1.08,2.94,4,,
WA,1978,1.36,0.47,1.07,2.91,4,,
WA,1977,1.34,0.45,1.06,2.85,4,,
WV,2015,1.14,0.1,0.47,1.71,10,,
WV,2014,1.21,0.1,0.47,1.78,10,,
WV,2013,1.24,0.1,0.46,1.8,10,,
WV,2012,1.24,0.1,0.47,1.8,10,,
WV,2011,1.22,0.1,0.46,1.78,10,,
WV,2010,1.23,0.1,0.44,1.78,10,,
WV,2009,1.22,0.1,0.44,1.76,10,,
WV,2008,1.24,0.1,0.43,1.78,10,,
WV,2007,1.22,0.1,0.42,1.74,10,,
WV,2006,1.21,0.1,0.41,1.72,10,,
WV,2005,1.23,0.1,0.4,1.73,10,,
WV,2004,1.25,0.1,0.39,1.75,10,,
WV,2003,1.23,0.1,0.38,1.72,10,,
WV,2002,1.26,0.1,0.38,1.74,10,,
WV,2001,1.23,0.1,0.37,1.7,10,,
WV,2000,1.18,0.1,0.36,1.64,10,,
WV,1999,1.18,0.1,0.37,1.66,10,,
WV,1998,1.17,0.09,0.36,1.63,10,,
WV,1997,1.14,0.09,0.37,1.6,10,,
WV,1996,1.14,0.09,0.37,1.61,10,,
WV,1995,1.14,0.08,0.38,1.6,10,,
WV,1994,1.17,0.08,0.39,1.64,10,,
WV,1993,1.18,0.08,0.4,1.67,10,,
WV,1992,1.16,0.09,0.41,1.66,10,,
WV,1991,1.18,0.09,0.43,1.7,10,,
WV,1990,1.2,0.1,0.42,1.72,10,,
WV,1989,1.15,0.11,0.39,1.65,10,,
WV,1988,1.15,0.12,0.41,1.68,10,,
WV,1987,1.13,0.13,0.41,1.68,10,,
WV,1986,1.12,0.13,0.42,1.67,10,,
WV,1985,1.13,0.13,0.42,1.69,10,,
WV,1984,1.13,0.12,0.45,1.7,10,,
WV,1983,1.14,0.13,0.49,1.76,10,,
WV,1982,1.11,0.14,0.55,1.8,10,,
WV,1981,1.05,0.14,0.65,1.85,10,,
WV,1980,1,0.09,0.72,1.81,10,,
WV,1979,0.94,0.09,0.75,1.77,10,,
WV,1978,0.93,0.09,0.76,1.78,10,,
WV,1977,0.95,0.09,0.76,1.8,10,,
WI,2015,1.39,0.39,1.2,2.98,2,,
WI,2014,1.41,0.38,1.18,2.97,2,,
WI,2013,1.45,0.38,1.17,2.99,2,,
WI,2012,1.46,0.37,1.18,3.02,2,,
WI,2011,1.44,0.37,1.16,2.97,2,,
WI,2010,1.48,0.32,1.13,2.93,2,,
WI,2009,1.49,0.31,1.16,2.96,2,,
WI,2008,1.54,0.34,1.13,3,1,,
WI,2007,1.54,0.33,1.11,2.98,1,,
WI,2006,1.56,0.32,1.09,2.97,1,,
WI,2005,1.55,0.31,1.07,2.93,1,,
WI,2004,1.53,0.3,1.02,2.85,1,,
WI,2003,1.53,0.29,1,2.82,2,,
WI,2002,1.56,0.28,0.98,2.82,2,,
WI,2001,1.54,0.26,0.95,2.75,2,,
WI,2000,1.53,0.27,0.95,2.76,1,,
WI,1999,1.53,0.26,0.92,2.72,2,,
WI,1998,1.61,0.26,0.9,2.77,1,,
WI,1997,1.57,0.25,0.89,2.71,1,,
WI,1996,1.53,0.24,0.88,2.65,1,,
WI,1995,1.55,0.23,0.87,2.65,1,,
WI,1994,1.58,0.22,0.91,2.72,2,,
WI,1993,1.59,0.22,0.89,2.71,1,,
WI,1992,1.59,0.25,0.9,2.74,2,,
WI,1991,1.65,0.27,0.84,2.76,1,,
WI,1990,1.74,0.31,1.03,3.07,1,,
WI,1989,1.72,0.31,0.96,2.99,1,,
WI,1988,1.76,0.33,0.95,3.05,2,,
WI,1987,1.8,0.36,0.98,3.14,2,,
WI,1986,1.88,0.34,0.96,3.18,2,,
WI,1985,1.83,0.32,1.06,3.2,1,,
WI,1984,1.87,0.31,1.03,3.21,1,,
WI,1983,1.94,0.34,1.07,3.35,2,,
WI,1982,1.95,0.3,1.05,3.3,2,,
WI,1981,1.96,0.32,1.21,3.48,1,,
WI,1980,1.95,0.31,1.19,3.45,1,,
WI,1979,1.92,0.28,1.19,3.39,2,,
WI,1978,1.83,0.28,1.2,3.31,2,,
WI,1977,1.81,0.27,1.28,3.37,1,,
WY,2015,1.24,0.31,1.18,2.74,3,,
WY,2014,1.25,0.31,1.16,2.72,3,,
WY,2013,1.24,0.29,1.13,2.66,4,,
WY,2012,1.32,0.28,1.13,2.73,3,,
WY,2011,1.29,0.27,1.1,2.66,3,,
WY,2010,1.33,0.27,1.06,2.66,3,,
WY,2009,1.4,0.27,1.06,2.73,2,,
WY,2008,1.5,0.27,1.09,2.87,2,,
WY,2007,1.46,0.27,1.07,2.8,2,,
WY,2006,1.44,0.26,1.03,2.72,2,,
WY,2005,1.2,0.25,0.96,2.41,4,,
WY,2004,1.42,0.24,0.92,2.58,2,,
WY,2003,1.7,0.23,0.9,2.84,1,,
WY,2002,1.46,0.23,0.88,2.57,2,,
WY,2001,1.44,0.22,0.88,2.53,2,,
WY,2000,1.42,0.22,0.86,2.5,3,,
WY,1999,1.41,0.22,0.84,2.47,2,,
WY,1998,1.38,0.17,0.81,2.36,3,,
WY,1997,1.36,0.17,0.81,2.34,3,,
WY,1996,1.37,0.17,0.81,2.35,3,,
WY,1995,1.34,0.16,0.8,2.29,4,,
WY,1994,1.42,0.18,0.83,2.43,3,,
WY,1993,1.4,0.19,0.86,2.45,3,,
WY,1992,1.44,0.2,0.91,2.56,3,,
WY,1991,1.45,0.2,0.9,2.56,3,,
WY,1990,1.48,0.22,0.93,2.63,3,,
WY,1989,1.41,0.23,0.86,2.5,5,,
WY,1988,1.45,0.24,0.87,2.56,5,,
WY,1987,1.51,0.25,0.9,2.66,5,,
WY,1986,1.51,0.27,0.96,2.73,4,,
WY,1985,1.59,0.25,1.05,2.89,3,,
WY,1984,1.61,0.23,1.06,2.89,4,,
WY,1983,1.68,0.22,1.11,3.01,4,,
WY,1982,1.78,0.24,1.2,3.22,3,,
WY,1981,1.91,0.24,1.27,3.43,2,,
WY,1980,1.85,0.24,1.32,3.41,2,,
WY,1979,1.86,0.22,1.3,3.39,2,,
WY,1978,1.81,0.22,1.35,3.38,2,,
WY,1977,1.78,0.2,1.31,3.29,2,,
